COUNTRY,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Case_Fatality_Ratio,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Republic of Moldova,Europe,518166,12845.086,413,10.238,0,11516,285.476,13,0.322,0,2.222453006542736,MDA,EURO,REPORTING,5/1/2022,2174088.0,1090356.0,53.9,27.029,1060647.0,26.293,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",3/3/2021,7.0,324506.0,8.044
Egypt,Eastern Mediterranean,513846,502.124,56,0.055,0,24669,24.106,28,0.027,0,4.800806175367041,EGY,EMRO,REPORTING,5/8/2022,82376780.0,46490815.0,80.498,45.43,34569036.0,33.78,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",1/24/2021,10.0,2754574.0,2.692
Libya,Eastern Mediterranean,501919,7304.58,3,0.044,0,6430,93.578,0,0.0,0,1.2810866606978089,LBY,EMRO,REPORTING,5/5/2022,3454320.0,2215144.0,50.272,32.238,1141412.0,16.611,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",4/11/2021,10.0,97764.0,1.423
Cyprus,Europe,483664,54466.36,3444,387.836,0,1027,115.653,12,1.351,0,0.2123384048429158,CYP,EURO,REPORTING,5/1/2022,1767252.0,662881.0,199.0,74.648,659031.0,74.215,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",12/23/2020,5.0,459937.0,51.794
Ethiopia,Africa,470760,409.486,151,0.131,0,7510,6.533,0,0.0,0,1.5954147394538525,ETH,AFRO,REPORTING,5/8/2022,29373478.0,24769870.0,25.55,21.546,21291403.0,18.52,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Janssen - Ad26.COV 2-S,SII - Covishield",3/13/2021,4.0,346411.0,0.301
Honduras,Americas,424365,4284.521,647,6.532,486,10895,109.999,2,0.02,0,2.5673581714268643,HND,AMRO,REPORTING,5/6/2022,13657639.0,5960689.0,137.892,60.181,5340476.0,53.919,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2/22/2021,6.0,2356849.0,23.795
Armenia,Europe,422900,14271.57,23,0.776,0,8623,291.0,1,0.034,0,2.039018832546104,ARM,EURO,REPORTING,4/17/2022,2154689.0,1131339.0,72.7,38.179,987673.0,33.331,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac,Wuhan CNBG - Inactivated",6/16/2021,8.0,41766.0,1.409
Oman,Eastern Mediterranean,389325,7623.918,199,3.897,19,4259,83.401,1,0.02,0,1.0939388382718702,OMN,EMRO,REPORTING,4/27/2022,7039789.0,3261677.0,137.856,63.871,3030281.0,59.34,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",12/29/2020,11.0,747831.0,14.644
Kenya,Africa,323900,602.366,104,0.193,0,5649,10.506,0,0.0,0,1.7441223442226157,KEN,AFRO,REPORTING,5/8/2022,17927457.0,11711277.0,33.34,21.78,8315517.0,15.465,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",3/5/2021,5.0,304280.0,0.566
Zambia,Africa,319755,1739.316,0,0.0,0,3976,21.628,0,0.0,0,1.2434773209698526,ZMB,AFRO,REPORTING,5/8/2022,3750417.0,3240892.0,20.4,17.629,2333446.0,12.693,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",4/14/2021,3.0,95513.0,0.52
