COUNTRY,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Case_Fatality_Ratio,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Madagascar,Africa,64236,231.974,55,0.199,0,1393,5.031,2,0.007,0,2.168777535413452,MDG,AFRO,REPORTING,5/8/2022,2369775.0,1290584.0,8.558,4.661,1156975.0,4.178,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",5/10/2021,3.0,27380.0,0.099
Guyana,Americas,63586,8084.144,102,12.968,3,1228,156.124,0,0.0,0,1.9312372466398424,GUY,AMRO,REPORTING,5/6/2022,903034.0,475116.0,114.809,60.405,365149.0,46.424,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2/11/2021,7.0,62769.0,7.98
Sudan,Eastern Mediterranean,62161,141.761,23,0.052,0,4936,11.257,3,0.007,0,7.940829988501774,SDN,EMRO,REPORTING,5/1/2022,7096087.0,5929766.0,16.183,13.523,3631390.0,8.282,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",3/9/2021,11.0,38261.0,0.087
New Caledonia,Western Pacific,61185,21430.973,300,105.08,298,312,109.283,0,0.0,0,0.5099301837578724,NCL,WPRO,REPORTING,5/2/2022,459742.0,188146.0,161.032,65.901,180038.0,63.061,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty",1/20/2021,2.0,91558.0,32.07
Bhutan,South-East Asia,59540,7716.353,182,23.587,10,21,2.722,0,0.0,0,0.0352757319422789,BTN,SEARO,REPORTING,5/9/2022,1907022.0,692593.0,247.149,89.76,671671.0,87.048,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",3/27/2021,5.0,542758.0,70.341
Mauritania,Africa,58743,1263.383,48,1.032,0,982,21.12,0,0.0,0,1.671702088756933,MRT,AFRO,REPORTING,5/8/2022,2650797.0,1567060.0,57.011,33.703,1068169.0,22.973,"Beijing CNBG - BBIBP-CorV,SII - Covishield",3/26/2021,2.0,47137.0,1.014
Belize,Americas,57675,14504.763,184,46.274,63,676,170.008,0,0.0,0,1.1720839561459917,BLZ,AMRO,REPORTING,5/6/2022,473152.0,237193.0,118.994,59.652,211123.0,53.096,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",3/1/2021,5.0,45848.0,11.53
Cabo Verde,Africa,56075,10085.667,39,7.015,0,401,72.124,0,0.0,0,0.7151138343155689,CPV,AFRO,REPORTING,5/8/2022,756797.0,354945.0,136.118,63.841,307145.0,55.243,"Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",3/18/2021,4.0,70.0,0.013
Syrian Arab Republic,Eastern Mediterranean,55863,319.205,34,0.194,5,3150,17.999,0,0.0,0,5.638696135712159,SYR,EMRO,REPORTING,5/7/2022,3743771.0,2484582.0,21.392,14.197,1563875.0,8.936,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",4/1/2021,11.0,14011.0,0.08
Gabon,Africa,47608,2138.98,6,0.27,0,304,13.658,0,0.0,0,0.6385286444941046,GAB,AFRO,REPORTING,5/8/2022,556657.0,300871.0,25.01,13.518,255200.0,11.466,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty",3/23/2021,3.0,2126.0,0.096
Papua New Guinea,Western Pacific,43839,489.984,16,0.179,0,651,7.276,1,0.011,0,1.4849464472309302,PNG,WPRO,REPORTING,4/19/2022,441214.0,323345.0,4.931,3.614,263995.0,2.951,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",3/30/2021,4.0,13841.0,0.155
Seychelles,Africa,42690,43407.526,0,0.0,0,166,168.79,0,0.0,0,0.388849620224843,SYC,AFRO,REPORTING,5/8/2022,201121.0,84679.0,204.501,86.102,80457.0,81.809,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Julphar - Hayat-Vax,SII - Covishield",1/10/2021,4.0,36307.0,36.917
Curaçao,Americas,42674,26005.984,344,209.637,344,275,167.588,1,0.609,1,0.6444209148171436,CUW,AMRO,REPORTING,5/6/2022,251186.0,107943.0,153.075,65.782,99037.0,60.354,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2/24/2021,3.0,44206.0,26.94
Andorra,Europe,41717,53992.105,368,476.283,0,153,198.02,0,0.0,0,0.3667573249829766,AND,EURO,REPORTING,5/1/2022,152694.0,57874.0,197.6,75.973,53427.0,70.135,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",1/20/2021,3.0,41393.0,54.338
Guam,Western Pacific,40723,24128.574,166,98.356,0,358,212.117,5,2.963,1,0.879111214777964,GUM,WPRO,REPORTING,4/21/2022,341561.0,153728.0,202.377,91.085,139725.0,82.788,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",1/4/2021,3.0,60163.0,35.647
Togo,Africa,37009,447.037,14,0.169,0,273,3.298,0,0.0,0,0.7377465399955709,TGO,AFRO,REPORTING,5/8/2022,3290821.0,2037429.0,39.75,24.61,1557538.0,18.814,SII - Covishield,3/10/2021,1.0,54353.0,0.657
Bahamas,Americas,33748,8581.949,147,37.381,0,798,202.927,0,0.0,0,2.3645794212946267,BHS,AMRO,REPORTING,5/6/2022,340866.0,166471.0,86.681,42.333,157964.0,40.169,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",3/14/2021,4.0,27866.0,7.086
Saint Lucia,Americas,23798,12959.968,339,184.613,20,368,200.406,0,0.0,0,1.5463464107318785,LCA,AMRO,REPORTING,5/6/2022,119786.0,58917.0,65.233,32.085,53583.0,29.18,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2/17/2021,5.0,7286.0,3.968
Timor-Leste,South-East Asia,22888,1735.984,9,0.683,2,130,9.86,0,0.0,0,0.5679775850468668,TLS,SEARO,REPORTING,5/10/2022,1496002.0,789433.0,113.467,59.876,637871.0,48.381,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",4/7/2021,4.0,68698.0,5.211
Cayman Islands,Americas,22828,34735.24,605,920.572,0,28,42.605,1,1.522,0,0.1226564146382751,CYM,AMRO,REPORTING,5/6/2022,143196.0,60855.0,217.888,92.597,58924.0,89.659,Pfizer BioNTech - Comirnaty,1/15/2021,1.0,22987.0,34.977
Solomon Islands,Western Pacific,18174,2645.862,2293,333.826,1300,146,21.255,5,0.728,3,0.8033298788825721,SLB,WPRO,REPORTING,5/8/2022,431304.0,267871.0,62.791,38.998,161810.0,23.557,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty,SII - Covishield",3/23/2021,4.0,2976.0,0.433
Tajikistan,Europe,17786,186.482,0,0.0,0,125,1.311,0,0.0,0,0.7030169131605195,TJK,EURO,REPORTING,5/1/2022,12271999.0,5182002.0,128.7,54.332,4959462.0,51.999,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",3/24/2021,6.0,2130535.0,22.338
Liechtenstein,Europe,17271,44573.773,72,185.821,0,83,214.21,0,0.0,0,0.4805740810857541,LIE,OTHER,REPORTING,4/10/2022,71104.0,26681.0,183.5,68.86,26346.0,67.995,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",1/6/2021,3.0,18310.0,47.255
San Marino,Europe,16785,49457.835,187,551.005,42,115,338.853,0,0.0,0,0.685135125708596,SMR,EURO,REPORTING,5/1/2022,69259.0,26351.0,204.1,76.484,23631.0,68.589,"Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty",2/24/2021,2.0,19277.0,55.952
Equatorial Guinea,Africa,15907,1133.797,0,0.0,0,183,13.044,0,0.0,0,1.1504704986871548,GNQ,AFRO,REPORTING,5/8/2022,480000.0,265505.0,34.213,18.924,206762.0,14.737,"Beijing CNBG - BBIBP-CorV,Sinovac - CoronaVac",2/12/2021,2.0,2403.0,0.171
Grenada,Americas,15818,14057.57,1075,955.36,335,220,195.516,0,0.0,0,1.3908235918441096,GRD,AMRO,REPORTING,5/6/2022,88016.0,43463.0,78.22,38.626,38228.0,33.973,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",2/15/2021,4.0,6325.0,5.621
Bermuda,Americas,13872,22276.107,260,417.516,0,135,216.787,4,6.423,0,0.9731817143812428,BMU,AMRO,REPORTING,5/6/2022,130325.0,48424.0,209.28,77.761,47592.0,76.425,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",1/11/2021,2.0,31723.0,50.942
Dominica,Americas,12493,17353.558,332,461.169,0,63,87.511,0,0.0,0,0.5042827528510291,DMA,AMRO,REPORTING,5/6/2022,66479.0,32611.0,92.343,45.299,30222.0,41.98,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty,SII - Covishield",2/12/2021,4.0,3646.0,5.065
Northern Mariana Islands (Commonwealth of the),Western Pacific,11305,19641.399,24,41.698,0,34,59.072,0,0.0,0,0.3007525074970474,MNP,WPRO,REPORTING,5/4/2022,111665.0,44759.0,194.008,77.765,43866.0,76.213,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/19/2020,3.0,23040.0,40.03
Samoa,Western Pacific,10926,5506.668,716,360.862,0,22,11.088,2,1.008,0,0.2013558834489386,WSM,WPRO,REPORTING,4/24/2022,412127.0,188680.0,207.711,95.094,156203.0,78.726,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",4/18/2021,2.0,67244.0,33.891
Tonga,Western Pacific,10826,10242.679,332,314.111,61,11,10.407,0,0.0,0,0.1016042775527769,TON,WPRO,REPORTING,4/28/2022,261560.0,104624.0,247.467,98.987,97151.0,91.916,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",4/14/2021,2.0,59785.0,56.564
Sint Maarten,Americas,10123,23606.641,58,135.255,58,86,200.55,0,0.0,0,0.849549073923732,SXM,AMRO,REPORTING,5/6/2022,62043.0,27974.0,144.683,65.235,25970.0,60.562,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2/22/2021,3.0,8099.0,18.887
Saint Vincent and the Grenadines,Americas,8479,7642.87,54,48.675,7,106,95.547,0,0.0,0,1.2501455605027956,VCT,AMRO,REPORTING,5/6/2022,70310.0,36268.0,63.377,32.692,30437.0,27.436,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Pfizer BioNTech - Comirnaty,SII - Covishield",2/1/2021,5.0,3605.0,3.25
Guinea-Bissau,Africa,8215,417.429,5,0.254,0,171,8.689,0,0.0,0,2.081551593205072,GNB,AFRO,REPORTING,5/8/2022,562620.0,519455.0,28.588,26.395,341495.0,17.352,"Beijing CNBG - BBIBP-CorV,SII - Covishield",4/2/2021,2.0,20.0,0.001
Vanuatu,Western Pacific,8063,2625.144,466,151.72,0,14,4.558,1,0.326,0,0.1736285704708008,VUT,WPRO,REPORTING,4/3/2022,242178.0,132941.0,78.848,43.283,118158.0,38.47,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S",6/2/2021,3.0,10610.0,3.454
Sierra Leone,Africa,7682,96.302,1,0.013,0,125,1.567,0,0.0,0,1.6271728520695312,SLE,AFRO,REPORTING,5/1/2022,2868978.0,1987563.0,35.966,24.916,1315830.0,16.495,"Beijing CNBG - BBIBP-CorV,SII - Covishield",3/15/2021,2.0,5359.0,0.067
Antigua and Barbuda,Americas,7663,7825.057,9,9.19,0,137,139.897,0,0.0,0,1.7878080632511686,ATG,AMRO,REPORTING,5/6/2022,135605.0,63952.0,138.473,65.304,61815.0,63.122,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",3/1/2021,6.0,9838.0,10.046
Liberia,Africa,7434,146.984,0,0.0,0,294,5.813,0,0.0,0,3.95485222881402,LBR,AFRO,REPORTING,5/8/2022,1837296.0,1751520.0,36.327,34.631,1438154.0,28.435,SII - Covishield,4/1/2021,1.0,1912.0,0.038
British Virgin Islands,Americas,6467,21387.704,112,370.407,0,62,205.047,0,0.0,0,0.9587144089893892,VGB,AMRO,REPORTING,5/6/2022,40872.0,19284.0,135.172,63.776,17862.0,59.073,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S",2/11/2021,2.0,3726.0,12.323
Turks and Caicos Islands,Americas,5995,15483.754,0,0.0,0,36,92.98,0,0.0,0,0.6005003696132087,TCA,AMRO,REPORTING,5/6/2022,68800.0,31491.0,177.695,81.334,29458.0,76.083,Pfizer BioNTech - Comirnaty,1/11/2021,1.0,7851.0,20.277
American Samoa,Western Pacific,5974,10823.052,101,182.981,5,29,52.539,2,3.623,0,0.4854360858656135,ASM,WPRO,REPORTING,4/21/2022,105958.0,44240.0,191.963,80.149,40593.0,73.542,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/21/2020,3.0,21694.0,39.303
Sao Tome and Principe,Africa,5970,2724.05,0,0.0,0,73,33.309,0,0.0,0,1.2227749123547658,STP,AFRO,REPORTING,5/8/2022,208657.0,113708.0,95.208,51.884,86914.0,39.658,"AstraZeneca - Vaxzevria,SII - Covishield",3/15/2021,2.0,2685.0,1.225
Saint Kitts and Nevis,Americas,5595,10518.499,30,56.399,4,43,80.839,0,0.0,0,0.7685412148634515,KNA,AMRO,REPORTING,5/6/2022,58370.0,28403.0,109.735,53.397,26650.0,50.102,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty,SII - Covishield",2/22/2021,3.0,3317.0,6.236
Cook Islands,Western Pacific,5336,30380.323,136,774.311,30,1,5.693,0,0.0,0,0.0187391029384381,COK,WPRO,REPORTING,4/28/2022,39598.0,15004.0,225.45,85.425,14678.0,83.569,Pfizer BioNTech - Comirnaty,5/17/2021,1.0,9916.0,56.456
Palau,Western Pacific,4782,26431.572,92,508.512,50,6,33.164,0,0.0,0,0.1254711600202969,PLW,WPRO,REPORTING,4/21/2022,47030.0,20176.0,259.949,111.519,17937.0,99.143,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",1/3/2021,3.0,11266.0,62.271
Kiribati,Western Pacific,3093,2589.39,9,7.535,0,13,10.883,0,0.0,0,0.4202920378930945,KIR,WPRO,REPORTING,4/15/2022,144216.0,79764.0,120.734,66.777,58191.0,48.716,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV",5/26/2021,2.0,6261.0,5.242
Anguilla,Americas,2984,19890.681,196,1306.492,196,9,59.992,0,0.0,0,0.3016085774036595,AIA,AMRO,REPORTING,5/6/2022,23378.0,10676.0,155.833,71.164,9955.0,66.358,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",2/5/2021,2.0,2747.0,18.311
Wallis and Futuna,Western Pacific,454,4036.991,0,0.0,0,7,62.244,0,0.0,0,1.5418414358615118,WLF,WPRO,REPORTING,4/14/2022,16426.0,6592.0,146.061,58.616,6633.0,58.981,Moderna - Spikevax,3/19/2021,1.0,3201.0,28.463
Montserrat,Americas,452,9041.808,179,3580.716,0,2,40.008,0,0.0,0,0.4424778761061947,MSR,AMRO,REPORTING,5/6/2022,4255.0,1916.0,85.117,38.328,1829.0,36.587,AstraZeneca - Vaxzevria,2/8/2021,1.0,510.0,10.202
Marshall Islands,Western Pacific,17,28.719,0,0.0,0,0,0.0,0,0.0,0,0.0,MHL,WPRO,REPORTING,4/21/2022,64048.0,33265.0,108.2,56.197,26892.0,45.43,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/29/2020,3.0,6687.0,11.297
Niue,Western Pacific,9,556.242,0,0.0,0,0,0.0,0,0.0,0,0.0,NIU,WPRO,REPORTING,3/13/2022,4161.0,1650.0,257.169,101.978,1417.0,87.577,Pfizer BioNTech - Comirnaty,6/8/2021,1.0,1094.0,67.614
Micronesia (Federated States of),Western Pacific,7,6.086,0,0.0,0,0,0.0,0,0.0,0,0.0,FSM,WPRO,REPORTING,4/21/2022,122731.0,66131.0,106.701,57.494,55921.0,48.617,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",1/13/2021,4.0,13642.0,11.86
Nauru,Western Pacific,3,27.691,0,0.0,0,0,0.0,0,0.0,0,0.0,NRU,WPRO,REPORTING,3/31/2022,22976.0,9464.0,212.073,87.355,8585.0,79.241,"AstraZeneca - Vaxzevria,SII - Covishield",4/9/2021,2.0,4927.0,45.477
