COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
New Zealand,NZL,WPRO,REPORTING,5/6/2022,11053632,4263702,229.222,88.418,4074691,84.498,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",2/19/2021,4,2660782,55.177
Nicaragua,NIC,AMRO,REPORTING,5/6/2022,10404774,5714698,157.064,86.265,4690076,70.798,"AstraZeneca - Vaxzevria,CIGB - CIGB-66,Finlay - Soberana Plus,Finlay - Soberana-02,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",3/3/2021,9,,
Niger,NER,AFRO,REPORTING,5/8/2022,2692524,2190790,11.123,9.05,1549279,6.4,"Beijing CNBG - BBIBP-CorV,SII - Covishield",3/29/2021,2,,
Nigeria,NGA,AFRO,REPORTING,5/8/2022,41091354,27401621,19.934,13.293,15931011,7.728,SII - Covishield,3/5/2021,1,942369,0.457
Niue,NIU,WPRO,REPORTING,3/13/2022,4161,1650,257.169,101.978,1417,87.577,Pfizer BioNTech - Comirnaty,6/8/2021,1,1094,67.614
North Macedonia,MKD,EURO,REPORTING,5/1/2022,1847640,853497,88.7,41.108,836829,40.305,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac,Wuhan CNBG - Inactivated",2/17/2021,6,157314,7.577
Northern Mariana Islands (Commonwealth of the),MNP,WPRO,REPORTING,5/4/2022,111665,44759,194.008,77.765,43866,76.213,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/19/2020,3,23040,40.03
Norway,NOR,EURO,REPORTING,5/1/2022,11293086,4333777,210.4,80.74,4038343,75.236,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/23/2020,4,2927946,54.549
occupied Palestinian territory,PSE,EMRO,REPORTING,5/8/2022,3720221,2002142,72.925,39.247,1768991,34.676,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2/2/2021,10,327224,6.414
Oman,OMN,EMRO,REPORTING,4/27/2022,7039789,3261677,137.856,63.871,3030281,59.34,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",12/29/2020,11,747831,14.644
